neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Leetsdale,683,940,34,2,7,2300,218,573,58,1730,159,2022-04-11
Liberty,1558,2687,182,6,30,5209,793,1285,148,3918,645,2022-04-11
Lincoln,561,724,35,2,18,1647,299,394,67,1254,232,2022-04-11
Lincoln Place (Pittsburgh),1999,2573,244,7,38,6600,858,1633,199,4957,655,2022-04-11
Lincoln-Lemington-Belmar (Pittsburgh),2537,5773,570,13,76,11223,992,2135,167,9095,825,2022-04-11
Lower Lawrenceville (Pittsburgh),1974,2341,66,2,22,6949,613,1242,109,5701,502,2022-04-11
Manchester (Pittsburgh),1468,1679,88,7,49,4691,576,882,64,3806,512,2022-04-11
Marshall,6486,5329,184,6,36,18511,1848,4148,413,14327,1430,2022-04-11
Marshall-Shadeland (Pittsburgh),2496,3481,316,4,55,8348,1023,1786,148,6546,872,2022-04-11
McCandless,20497,24608,1114,130,222,68377,6450,21116,1577,47053,4841,2022-04-11
Mcdonald,183,302,0,0,3,621,71,214,14,407,57,2022-04-11
Mckees rocks,3687,5195,395,19,87,12295,1470,2490,227,9815,1242,2022-04-11
McKeesport,12930,27154,2563,107,440,59344,5916,17922,830,41433,5084,2022-04-11
Middle Hill (Pittsburgh),979,1174,42,6,37,2932,363,513,55,2419,308,2022-04-11
Millvale,2228,2620,140,4,17,7608,844,1819,168,5787,674,2022-04-11
Monroeville,20740,34883,2777,131,457,78876,7939,21599,2040,57267,5890,2022-04-11
Moon,19302,31714,2457,55,185,70449,7216,27930,2322,42467,4870,2022-04-11
Morningside (Pittsburgh),2303,2497,164,6,37,7914,787,1523,153,6382,631,2022-04-11
Mount Lebanon,26317,34090,2696,89,195,95651,8116,21800,2152,73717,5914,2022-04-11
Mount Oliver Borough,2026,2981,161,6,39,7031,842,1599,142,5432,699,2022-04-11
Mount Washington (Pittsburgh),5983,8229,617,9,58,20269,2440,4725,530,15518,1905,2022-04-11
Mt. Oliver (Pittsburgh),249,257,31,0,9,708,105,170,18,540,87,2022-04-11
Munhall,7018,10043,549,33,171,23849,2907,4678,515,19177,2391,2022-04-11
Neville,656,652,56,3,11,1916,205,498,47,1417,158,2022-04-11
New Homestead (Pittsburgh),621,726,94,1,8,1910,259,417,59,1490,199,2022-04-11
North Braddock,2568,3989,361,8,64,8950,1032,2002,165,6952,867,2022-04-11
North Fayette,9980,12406,679,24,97,29877,3865,8959,1175,20895,2683,2022-04-11
North Oakland (Pittsburgh),7165,5448,202,10,36,25124,1153,1988,120,23145,1032,2022-04-11
North Shore (Pittsburgh),685,507,24,0,3,2402,100,237,16,2161,83,2022-04-11
North Versailles,6305,9051,718,22,184,21143,2630,5186,628,15947,1994,2022-04-11
Northview Heights (Pittsburgh),941,1271,51,7,27,3098,317,612,29,2487,288,2022-04-11
O'Hara,6380,5521,275,9,79,19044,1703,4200,375,14824,1321,2022-04-11
Oakdale,957,1402,34,6,19,3067,371,946,107,2121,263,2022-04-11
Oakmont,6534,11334,624,28,82,36627,1737,10838,343,25783,1394,2022-04-11
Oakwood (Pittsburgh),645,640,47,3,14,1790,231,424,49,1364,182,2022-04-11
Ohio,5209,7568,928,6,36,19290,1772,4127,395,15100,1369,2022-04-11
